Time (s),Lap Distance (m),Ground Speed (km/h),Latitude Degrees (),Latitude Minutes (),Latitude Minute fraction (),Longitude Degrees (),Longitude Minutes (),Longitude Minute - fraction (),YawNorth (rad),X (m),Y (m),AP Info:
0,0,212.865127037191,34,50,42.5917702051093,136,32,19.1735714018523,2.43240346113709,-0.68715637922287,0.862924873828888,0
0.0166666666666667,0.986628911490298,213.358562726617,34,50,42.5714506801283,136,32,19.1951892959128,2.43278355995682,-0.137940019369125,0.236754149198532,0
0.0333333333333333,1.97485766771739,213.556259963489,34,50,42.549196464813,136,32,19.2181327356753,2.43303503195313,0.444952756166458,-0.449036359786987,0
0.05,2.9637999580194,213.666809446979,34,50,42.52275402753,136,32,19.2454876658235,2.4335373798993,1.13992238044739,-1.26389193534851,0
0.0666666666666667,3.95335061573288,213.819074685241,34,50,42.495635640327,136,32,19.273881772192,2.43444873491791,1.86129307746887,-2.09957766532898,0
0.0833333333333333,4.94312680305743,213.764238238964,34,50,42.4852889172711,136,32,19.2849073889124,2.43428613344697,2.14140605926514,-2.41842436790466,0
0.1,5.93231085583372,213.563272560395,34,50,42.4602640962972,136,32,19.310370286853,2.43501623074082,2.78830766677856,-3.18959426879883,0
0.116666666666667,6.92043196331258,213.30504587047,34,50,42.4373683387641,136,32,19.3344132923403,2.43599458138016,3.39913606643677,-3.89515447616577,0
0.133333333333333,7.90700111399616,212.892827224838,34,50,42.4121336385467,136,32,19.3608518476981,2.4357751170781,4.07082509994507,-4.67279195785522,0
0.15,8.89154555847304,212.430372789176,34,50,42.3848697766714,136,32,19.3889338429745,2.4362651268628,4.78426694869995,-5.51296043395996,0
0.166666666666667,9.87385945081664,211.929228703259,34,50,42.3605384370147,136,32,19.4141263576217,2.43683417240647,5.42429971694946,-6.26275968551636,0
0.183333333333333,10.8542713935671,211.608730564959,34,50,42.3345706708885,136,32,19.4405241514733,2.43695719639329,6.0949535369873,-7.06298732757568,0
0.2,11.8313839944366,210.503913010633,34,50,42.3129709743931,136,32,19.4629890646798,2.43721176783112,6.66568994522095,-7.72860765457153,0
0.216666666666667,12.8046755397666,209.958034571924,34,50,42.288302336854,136,32,19.4887077163617,2.43726982275513,7.31908988952637,-8.48880100250244,0
0.233333333333333,13.7763581840362,209.80886775257,34,50,42.2685248550066,136,32,19.5089418431326,2.43775363365677,7.83315181732178,-9.09826755523682,0
0.25,14.7460340563191,209.091109073621,34,50,42.2423208163876,136,32,19.5360079255511,2.43780537048844,8.52078437805176,-9.90577602386475,0
0.266666666666667,15.7131846488632,208.717946905422,34,50,42.2172436565573,136,32,19.5615564241894,2.43794752756623,9.16986179351807,-10.6785583496094,0
0.283333333333333,16.6785873588363,208.336023802997,34,50,42.19588322224,136,32,19.5834627756358,2.43828709522751,9.72640800476074,-11.3368053436279,0
0.3,17.6426535950185,208.140590227677,34,50,42.1737746068088,136,32,19.6067714619449,2.43869020144013,10.3185815811157,-12.0181083679199,0
0.316666666666667,18.6057245720263,207.906071839687,34,50,42.1474707888051,136,32,19.6334089948027,2.43882842461136,10.9953269958496,-12.8286914825439,0
0.333333333333333,19.5679598883904,207.77958482964,34,50,42.123726394655,136,32,19.6582090870993,2.43901099363831,11.6253910064697,-13.5604028701782,0
0.35,20.5297299945908,207.705101048898,34,50,42.1009794590559,136,32,19.6812837878543,2.43943591515091,12.2116203308105,-14.2613763809204,0
0.366666666666667,21.4908582319864,207.50229750603,34,50,42.0753069897215,136,32,19.7078511880636,2.43978108564881,12.8865842819214,-15.0525035858154,0
0.383333333333333,22.4515844188688,207.531415227173,34,50,42.0498604957855,136,32,19.7336831804296,2.43981970945862,13.5428647994995,-15.8366670608521,0
0.4,23.4125085320377,207.587801661761,34,50,42.0270814012325,136,32,19.7574627924883,2.43984134594468,14.1470031738281,-16.538631439209,0
0.416666666666667,24.3734781593139,207.551077321571,34,50,42.0023934512442,136,32,19.7826215369264,2.44010843435792,14.7861795425415,-17.2994194030762,0
0.433333333333333,25.3349171667636,207.790573896717,34,50,41.9730472011933,136,32,19.81292527709,2.4401593963292,15.5560684204102,-18.2037582397461,0
0.45,26.2976630751088,208.115658508386,34,50,41.9663436640632,136,32,19.8195014395015,2.44029535452393,15.7231407165527,-18.4103355407715,0
0.466666666666667,27.2618004743502,208.391697963904,34,50,41.9397509090315,136,32,19.8468752387544,2.44013609091309,16.4185924530029,-19.2298221588135,0
0.483333333333333,28.2272021420803,208.661822495491,34,50,41.904483522964,136,32,19.8835219050511,2.44059164921311,17.3496284484863,-20.3166275024414,0
0.5,29.1937372946185,208.881363401017,34,50,41.8894180470061,136,32,19.8983332405692,2.44077994028595,17.7259216308594,-20.7808876037598,0
0.516666666666667,30.1613805576327,209.140526221106,34,50,41.863254029826,136,32,19.9252268431269,2.44074387947587,18.4091739654541,-21.5871620178223,0
0.533333333333333,31.130678220337,209.596064067165,34,50,41.8425962645101,136,32,19.9464407593314,2.44110353390244,18.9481296539307,-22.2237548828125,0
0.55,32.1018505982943,209.950403210379,34,50,41.8126742612286,136,32,19.9770383489454,2.4418209950116,19.7254848480225,-23.1458358764648,0
0.566666666666667,33.0739583843027,210.000160345241,34,50,41.7872643611757,136,32,20.003137489714,2.44199712673691,20.3885536193848,-23.9288711547852,0
0.583333333333333,34.0461843483503,210.001456123333,34,50,41.7622461902168,136,32,20.0284700301313,2.44246478477982,21.0321464538574,-24.6998348236084,0
0.6,35.0188264660004,210.17993870153,34,50,41.7376128147878,136,32,20.0538166066554,2.44242514769105,21.6760959625244,-25.4589405059814,0
